"","county","unemp_rate","density","median_income","povery_rate","fips","is_rural","state","total_pop","long_trip","cases","deaths","in_poverty","unemployed"
"1","Anderson",3.6,55.01,48461,19.8,"48001",1,"TX",57735,149208,47,6,11431,2078
"2","Andrews",3.1,9.85,74918,10.2,"48003",1,"TX",18705,41821,6,0,1907,579
"3","Angelina",5.1,108.77,51750,15.6,"48005",1,"TX",86715,157483,92,4,13527,4422
"4","Aransas",6.8,91.87,53085,18.7,"48007",1,"TX",23510,22508,36,0,4396,1598
"5","Archer",3.4,10.03,63731,10.3,"48009",0,"TX",8553,11065,1,0,880,290
"6","Armstrong",2.5,2.09,64424,10.6,"48011",1,"TX",1887,3975,4,0,200,47
"7","Atascosa",4.2,36.83,57309,14.7,"48013",1,"TX",51153,86276,63,1,7519,2148
"8","Austin",4.3,43.95,68311,11.1,"48015",1,"TX",30032,46695,37,0,3333,1291
"9","Bailey",4.3,8.67,46174,15.9,"48017",1,"TX",7000,8770,25,0,1113,301
"10","Bandera",3.6,25.9,59604,12.9,"48019",1,"TX",23112,20739,33,0,2981,832
"11","Bastrop",3.5,83.51,62627,14,"48021",1,"TX",88723,69204,162,5,12421,3105
"12","Baylor",3.4,4.3,41539,15.9,"48023",1,"TX",3509,6349,2,0,557,119
"13","Bee",6.4,36.2,44171,24,"48025",1,"TX",32565,46863,36,2,7815,2084
"14","Bell",4.2,295.18,54831,13.8,"48027",0,"TX",362924,423291,2399,12,50083,15242
"15","Bexar",3.5,1383.08,58956,15.2,"48029",0,"TX",2003554,1612875,4576,56,304540,70124
"16","Blanco",2.7,14.8,68404,8.6,"48031",1,"TX",11931,10080,26,1,1026,322
"17","Bosque",4,18.53,55179,13.7,"48035",1,"TX",18685,33078,7,2,2559,747
"18","Bowie",4.5,104.59,51207,16.8,"48037",0,"TX",93245,150941,609,5,15665,4196
"19","Brazoria",5.3,230.66,83704,8.6,"48039",0,"TX",374264,304481,676,14,32186,19835
"20","Brazos",3.1,332.83,54471,20,"48041",0,"TX",229211,245113,409,11,45842,7105
"21","Brewster",3.5,1.49,48581,13.1,"48043",1,"TX",9203,17095,5,1,1205,322
"22","Briscoe",4.3,1.82,44259,15,"48045",1,"TX",1546,1710,3,0,231,66
"23","Brooks",8.2,7.66,31410,29.6,"48047",1,"TX",7093,18652,30,0,2099,581
"24","Brown",3.8,40.35,56040,13.7,"48049",1,"TX",37864,76004,78,2,5187,1438
"25","Burleson",4.1,26.08,61745,13.8,"48051",1,"TX",18443,23925,46,0,2545,756
"26","Burnet",3.2,43,62827,10.5,"48053",1,"TX",48155,46852,112,2,5056,1540
"27","Caldwell",3.9,69.81,55301,14.4,"48055",0,"TX",43664,49943,68,2,6287,1702
"28","Calhoun",5.8,42.18,55909,14.7,"48057",1,"TX",21290,31349,80,0,3129,1234
"29","Callahan",3.7,15.06,50812,12.1,"48059",1,"TX",13943,30839,12,1,1687,515
"30","Cameron",6.9,455.95,40893,25.5,"48061",0,"TX",423163,569022,1034,28,107906,29198
"31","Camp",5.6,63.33,47091,16.6,"48063",1,"TX",13094,20408,64,0,2173,733
"32","Carson",3.2,6.72,69760,8.5,"48065",1,"TX",5926,5937,64,0,503,189
"33","Cass",6,32.51,44529,17.3,"48067",1,"TX",30026,63442,181,1,5194,1801
"34","Castro",3.3,9.01,51736,15.3,"48069",1,"TX",7530,9499,59,0,1152,248
"35","Chambers",6.5,58.77,93351,8.6,"48071",0,"TX",43837,48715,126,8,3769,2849
"36","Cherokee",4.5,48.29,46576,16.5,"48073",0,"TX",52646,90124,45,3,8686,2369
"37","Childress",3,10.11,44095,21.9,"48075",1,"TX",7306,17113,14,0,1600,219
"38","Clay",3.6,9.88,59983,11.5,"48077",1,"TX",10471,15537,7,0,1204,376
"39","Cochran",4.6,4.03,43742,19.5,"48079",1,"TX",2853,3641,19,0,556,131
"40","Coke",3.7,3.64,48435,13.1,"48081",1,"TX",3387,6392,2,0,443,125
"41","Coleman",4.4,7.05,44834,17.7,"48083",1,"TX",8175,8004,6,1,1446,359
"42","Collin",3.4,930,96847,6.1,"48085",0,"TX",1034730,741603,1376,11,63118,35180
"43","Collingsworth",3.6,3.33,40314,19.8,"48087",1,"TX",2920,6198,2,0,578,105
"44","Colorado",3.8,21.74,55607,13.6,"48089",1,"TX",21493,27107,23,0,2923,816
"45","Comal",3.4,193.88,87976,6.7,"48091",0,"TX",156209,164388,498,3,10466,5311
"46","Comanche",3.7,14.9,54122,13.5,"48093",1,"TX",13635,33082,5,0,1840,504
"47","Concho",4.2,4.15,43321,15.1,"48095",1,"TX",2726,5007,17,0,411,114
"48","Cooke",3.6,43.94,61186,12.7,"48097",1,"TX",41257,34525,20,0,5239,1485
"49","Coryell",4.3,71.66,53083,11.8,"48099",0,"TX",75951,79855,60,2,8962,3265
"50","Cottle",4.3,1.67,40449,18.9,"48101",1,"TX",1398,3808,1,0,264,60
"51","Crane",5.3,5.57,68626,9.6,"48103",1,"TX",4797,9351,6,0,460,254
"52","Crockett",4.1,1.32,54165,13.8,"48105",1,"TX",3464,5864,19,0,478,142
"53","Crosby",4.1,6.73,38871,22.1,"48107",1,"TX",5737,4970,102,0,1267,235
"54","Culberson",3.6,0.63,44462,19.7,"48109",1,"TX",2171,8338,3,0,427,78
"55","Dallam",2.1,4.46,55793,11.4,"48111",1,"TX",7287,12870,6,0,830,153
"56","Dallas",3.8,2718,61807,14,"48113",0,"TX",2635516,2700573,3207,43,368972,100149
"57","Dawson",4.9,15.36,48165,20.6,"48115",1,"TX",12728,17431,5,0,2621,623
"58","Delta",3.3,20.37,51348,16,"48119",1,"TX",5331,8145,28,0,852,175
"59","Denton",3.3,754.31,90910,6.5,"48121",0,"TX",887207,704236,922,12,57668,29277
"60","DeWitt",4.4,22.11,52544,17.1,"48123",1,"TX",20160,22259,63,2,3447,887
"61","Dickens",4.7,2.71,41973,19.4,"48125",1,"TX",2211,1116,3,0,428,103
"62","Dimmit",5.1,7.52,40315,25.3,"48127",1,"TX",10124,22947,290,1,2561,516
"63","Donley",3.6,3.97,41093,16.4,"48129",1,"TX",3278,4511,9,0,537,118
"64","Duval",7.7,6.57,37100,23.9,"48131",1,"TX",11157,12810,5,1,2666,859
"65","Eastland",4.3,20.06,46991,16.7,"48133",1,"TX",18360,40658,7,1,3066,789
"66","Ector",4.1,152.76,65564,12.1,"48135",0,"TX",166223,273756,141,2,20112,6815
"67","Edwards",3.2,0.95,40424,20.7,"48137",1,"TX",1932,3603,5,0,399,61
"68","Ellis",3.4,159.93,78341,8.7,"48139",0,"TX",184826,182164,273,7,16079,6284
"69","Erath",3.4,34.98,53044,15.2,"48143",1,"TX",42698,62266,37,1,6490,1451
"70","Falls",4.2,23.34,41484,21.6,"48145",1,"TX",17297,31541,9,0,3736,726
"71","Fannin",3.3,38.07,56123,13.2,"48147",1,"TX",35514,30552,20,0,4687,1171
"72","Fayette",3.2,25.85,62195,10.9,"48149",1,"TX",25346,31431,34,0,2762,811
"73","Fisher",3.5,4.42,51053,13.3,"48151",1,"TX",3830,7837,2,0,509,134
"74","Floyd",5.5,6.5,45022,17.3,"48153",1,"TX",5712,8761,15,0,988,314
"75","Foard",3.4,1.9,38615,17,"48155",1,"TX",1155,2100,0,0,196,39
"76","Franklin",4.6,37.29,50630,14.4,"48159",1,"TX",10725,27293,77,0,1544,493
"77","Freestone",6.3,22.58,52511,15.5,"48161",1,"TX",19717,34640,14,0,3056,1242
"78","Frio",3.8,15.19,40360,27.7,"48163",1,"TX",20306,22329,150,0,5624,771
"79","Gaines",3,11.67,67171,13.2,"48165",1,"TX",21492,38054,10,1,2836,644
"80","Galveston",5.2,769.93,73214,11.3,"48167",0,"TX",342139,246552,686,19,38661,17791
"81","Garza",3.3,7.23,48975,24.2,"48169",1,"TX",6229,8176,65,0,1507,205
"82","Gillespie",2.6,23.47,62143,8.5,"48171",1,"TX",26988,19938,38,1,2293,701
"83","Glasscock",2.6,1.36,93759,7.9,"48173",1,"TX",1409,2015,1,0,111,36
"84","Goliad",4.9,8.46,56758,13.4,"48175",1,"TX",7658,12705,10,2,1026,375
"85","Gonzales",3.5,18.57,48425,16.2,"48177",1,"TX",20837,30079,38,1,3375,729
"86","Gray",5.3,24.34,52543,14.5,"48179",1,"TX",21886,17145,195,0,3173,1159
"87","Grayson",3.5,129.58,57439,11.6,"48181",0,"TX",136212,108276,26,4,15800,4767
"88","Gregg",5.1,445.4,53137,16.5,"48183",0,"TX",123945,168682,128,4,20450,6321
"89","Grimes",5.3,33.78,51651,15.9,"48185",1,"TX",28880,43828,63,3,4591,1530
"90","Guadalupe",3.3,184.92,78801,7.4,"48187",0,"TX",166847,155236,485,6,12346,5505
"91","Hale",5.1,36.1,49187,17.9,"48189",1,"TX",33406,72298,39,0,5979,1703
"92","Hall",6.2,3.8,35940,25.4,"48191",1,"TX",2964,10962,10,0,752,183
"93","Hamilton",3.9,10.19,52505,14.3,"48193",1,"TX",8461,14807,11,0,1209,329
"94","Hansford",2.5,6.1,58703,11.7,"48195",1,"TX",5399,8956,27,0,631,134
"95","Hardeman",3.9,5.95,40057,19.2,"48197",1,"TX",3933,7894,4,0,755,153
"96","Hardin",6.1,61.35,62616,12.1,"48199",0,"TX",57602,61065,186,2,6969,3513
"97","Harris",5,2402.41,61638,15,"48201",0,"TX",4713325,3574739,2989,141,706998,235666
"98","Harrison",5.2,72.93,55171,17.8,"48203",0,"TX",66553,102523,538,2,11846,3460
"99","Hartley",2,4.15,72796,8.6,"48205",1,"TX",5576,10122,11,0,479,111
"100","Haskell",4.7,6.53,38613,20.7,"48207",1,"TX",5658,9821,14,0,1171,265
"101","Hays",3.1,231.73,72890,11.2,"48209",0,"TX",230191,151815,289,14,25781,7135
"102","Hemphill",2.5,4.2,71299,9.1,"48211",1,"TX",3819,11150,3,1,347,95
"103","Henderson",4.2,89.88,49896,17.5,"48213",1,"TX",82737,136554,77,3,14478,3474
"104","Hidalgo",7.4,493.21,41656,26.9,"48215",0,"TX",868707,1201627,1765,29,233682,64284
"105","Hill",3.9,36.59,53210,13.1,"48217",1,"TX",36649,79749,37,1,4801,1429
"106","Hockley",3.7,25.25,51149,15.5,"48219",1,"TX",23021,29305,264,1,3568,851
"107","Hood",4.2,121.68,74534,9.2,"48221",1,"TX",61643,52788,55,4,5671,2589
"108","Hopkins",3.6,45.83,50332,14.7,"48223",1,"TX",37084,58174,261,2,5451,1335
"109","Houston",4.2,19.28,43601,20.9,"48225",1,"TX",22968,46722,219,3,4800,964
"110","Howard",4.3,38.87,61112,17,"48227",1,"TX",36664,62785,28,1,6232,1576
"111","Hudspeth",6,0.76,39309,28,"48229",1,"TX",4886,16552,4,0,1368,293
"112","Hunt",3.9,102.5,57513,14.8,"48231",1,"TX",98594,104254,158,6,14591,3845
"113","Hutchinson",6,24.96,57936,11.4,"48233",1,"TX",20938,16406,358,1,2386,1256
"114","Irion",3,1.52,68630,7.4,"48235",1,"TX",1536,3056,3,0,113,46
"115","Jack",3.7,9.93,55358,15.6,"48237",1,"TX",8935,14870,20,0,1393,330
"116","Jackson",4,16.97,55800,13.8,"48239",1,"TX",14760,27245,18,0,2036,590
"117","Jasper",7.4,38.04,47252,19.5,"48241",1,"TX",35529,56600,49,1,6928,2629
"118","Jefferson",7.3,287.89,55173,16.9,"48245",0,"TX",251565,233348,644,8,42514,18364
"119","Johnson",3.8,208.27,66538,11,"48251",0,"TX",175817,164382,207,6,19339,6681
"120","Jones",5.3,21.76,51094,20.4,"48253",1,"TX",20083,41804,16,0,4096,1064
"121","Karnes",3.5,19.83,54843,21,"48255",1,"TX",15601,27644,113,0,3276,546
"122","Kaufman",3.5,132.38,75009,9.8,"48257",0,"TX",136154,186904,279,6,13343,4765
"123","Kendall",3.1,50.43,94899,7.4,"48259",0,"TX",47431,41823,38,0,3509,1470
"124","Kerr",3.4,44.98,57789,12.5,"48265",1,"TX",52600,44025,58,4,6575,1788
"125","Kimble",3.5,3.68,44757,17,"48267",1,"TX",4337,8087,10,1,737,151
"126","Kinney",5.5,2.65,47076,18.9,"48271",1,"TX",3667,5528,5,0,693,201
"127","Kleberg",5.9,36.38,47169,23.3,"48273",1,"TX",30680,41890,35,1,7148,1810
"128","Knox",4,4.37,40808,19.1,"48275",1,"TX",3664,10395,1,0,699,146
"129","Lamar",4.2,54.89,47061,18.4,"48277",1,"TX",49859,78087,78,1,9174,2094
"130","Lamb",5.2,13.75,42719,18.5,"48279",1,"TX",12893,20232,146,0,2385,670
"131","Lampasas",3.7,27.6,58817,12.4,"48281",0,"TX",21428,29269,21,0,2657,792
"132","Lavaca",3.6,19.86,52632,11,"48285",1,"TX",20154,27977,42,0,2216,725
"133","Lee",3.3,26.41,59250,10.7,"48287",1,"TX",17239,28166,25,0,1844,568
"134","Leon",6.3,15.66,50522,14.4,"48289",1,"TX",17404,35411,6,0,2506,1096
"135","Liberty",7.1,65.3,53274,14.4,"48291",1,"TX",88219,88912,181,8,12703,6263
"136","Limestone",5.5,25.83,43644,19.2,"48293",1,"TX",23437,45422,17,0,4499,1289
"137","Lipscomb",3.2,3.54,65388,12.4,"48295",1,"TX",3233,9880,1,0,400,103
"138","Llano",3.7,20.66,55617,10.8,"48299",1,"TX",21795,29235,26,2,2353,806
"139","Lubbock",3.2,311.33,54733,17.9,"48303",0,"TX",310569,396930,169,7,55591,9938
"140","Lynn",3.8,6.63,45737,16,"48305",1,"TX",5951,9174,4,1,952,226
"141","Madison",4.6,29.32,46274,17.8,"48313",1,"TX",14284,35954,10,1,2542,657
"142","Marion",5.7,27.69,37876,21.4,"48315",1,"TX",9854,15517,75,0,2108,561
"143","Martin",3.2,5.25,68745,12.1,"48317",1,"TX",5771,10424,14,0,698,184
"144","Mason",3.3,4.32,54914,11.7,"48319",1,"TX",4274,5147,3,0,500,141
"145","Matagorda",7.2,33.36,49276,17.5,"48321",1,"TX",36643,45786,62,0,6412,2638
"146","Maverick",9.3,42.41,40017,26.9,"48323",1,"TX",58722,166457,752,4,15796,5461
"147","McCulloch",3.6,7.77,43262,17.6,"48307",1,"TX",7984,16510,8,1,1405,287
"148","McLennan",3.8,226.5,51078,18,"48309",0,"TX",256623,380994,298,3,46192,9751
"149","Medina",3.8,34.71,60695,12.2,"48325",1,"TX",51584,74547,505,2,6293,1960
"150","Menard",4.8,2.49,38425,20.7,"48327",1,"TX",2138,4369,2,0,442,102
"151","Midland",3,152.03,85811,9.9,"48329",0,"TX",176832,352573,103,2,17506,5304
"152","Milam",5,24.34,48989,16.3,"48331",1,"TX",24823,29499,28,0,4046,1241
"153","Mills",3.5,6.6,46876,13.2,"48333",1,"TX",4873,8937,1,0,643,170
"154","Mitchell",5.5,10.32,44457,19.5,"48335",1,"TX",8545,17086,3,0,1666,469
"155","Montague",4,21.18,53649,12.9,"48337",1,"TX",19818,20565,21,1,2556,792
"156","Montgomery",4.3,437.49,88833,8.9,"48339",0,"TX",607391,564594,1195,13,54057,26117
"157","Moore",2.9,24.35,55099,11.9,"48341",1,"TX",20940,40203,16,0,2491,607
"158","Morris",8.6,51.33,43304,18.1,"48343",1,"TX",12388,21397,67,1,2242,1065
"159","Motley",3.7,1.22,40217,17.6,"48345",1,"TX",1200,878,2,0,211,44
"160","Nacogdoches",4.3,68.17,46207,20.9,"48347",1,"TX",65204,137961,569,2,13627,2803
"161","Navarro",3.9,47.28,48649,13.4,"48349",1,"TX",50113,84277,72,0,6715,1954
"162","Newton",7.9,15.47,45890,22.8,"48351",1,"TX",13595,21135,11,0,3099,1074
"163","Nolan",4.1,16.68,46389,17.5,"48353",1,"TX",14714,22821,3,1,2574,603
"164","Nueces",5.4,405.76,56079,16.5,"48355",0,"TX",362294,421767,569,16,59778,19563
"165","Ochiltree",3.7,11.14,62567,11.4,"48357",1,"TX",9836,26213,21,0,1121,363
"166","Oldham",2.5,1.37,59404,13.1,"48359",1,"TX",2112,2103,4,0,276,52
"167","Orange",6.9,245.26,62976,12.5,"48361",0,"TX",83396,71020,127,5,10424,5754
"168","Panola",5.5,29.68,56882,14.3,"48365",1,"TX",23194,56996,220,0,3316,1275
"169","Parker",3.5,129.42,82501,8.2,"48367",0,"TX",142878,173160,293,5,11715,5000
"170","Parmer",2.5,11.66,50607,11.8,"48369",1,"TX",9605,16511,35,0,1133,240
"171","Pecos",4.5,3.26,52763,18.7,"48371",1,"TX",15823,50223,26,1,2958,712
"172","Polk",6,42.96,50416,16.7,"48373",1,"TX",51353,80078,52,0,8575,3081
"173","Potter",3.2,133.29,41138,20.3,"48375",0,"TX",117415,163318,133,4,23835,3757
