"","county","pct_lt17","pct_gt65","unemp_rate","density","median_income","povery_rate","fips","is_rural","state","total_pop","long_trip","cases","deaths","in_poverty","unemployed"
"31","Camp",26.33,20.8,5.6,63.33,47091,16.6,"48063",1,"TX",13094,20408,64,0,2173,733
"32","Carson",23.39,23.28,3.2,6.72,69760,8.5,"48065",1,"TX",5926,5937,64,0,503,189
"33","Cass",22.19,25.57,6,32.51,44529,17.3,"48067",1,"TX",30026,63442,181,1,5194,1801
"34","Castro",28.67,18.6,3.3,9.01,51736,15.3,"48069",1,"TX",7530,9499,59,0,1152,248
"35","Chambers",27.78,13.05,6.5,58.77,93351,8.6,"48071",0,"TX",43837,48715,126,8,3769,2849
"36","Cherokee",25.31,19.99,4.5,48.29,46576,16.5,"48073",0,"TX",52646,90124,45,3,8686,2369
"37","Childress",19,18.02,3,10.11,44095,21.9,"48075",1,"TX",7306,17113,14,0,1600,219
"38","Clay",19.75,26.5,3.6,9.88,59983,11.5,"48077",1,"TX",10471,15537,7,0,1204,376
"39","Cochran",26.81,18.12,4.6,4.03,43742,19.5,"48079",1,"TX",2853,3641,19,0,556,131
"40","Coke",20.93,31.06,3.7,3.64,48435,13.1,"48081",1,"TX",3387,6392,2,0,443,125
"41","Coleman",20.32,28.66,4.4,7.05,44834,17.7,"48083",1,"TX",8175,8004,6,1,1446,359
"42","Collin",25.64,12.32,3.4,930,96847,6.1,"48085",0,"TX",1034730,741603,1376,11,63118,35180
"43","Collingsworth",25,21.44,3.6,3.33,40314,19.8,"48087",1,"TX",2920,6198,2,0,578,105
"44","Colorado",22.98,25.74,3.8,21.74,55607,13.6,"48089",1,"TX",21493,27107,23,0,2923,816
"45","Comal",22.48,20.02,3.4,193.88,87976,6.7,"48091",0,"TX",156209,164388,498,3,10466,5311
"46","Comanche",22.14,27.23,3.7,14.9,54122,13.5,"48093",1,"TX",13635,33082,5,0,1840,504
"47","Concho",18.23,28.25,4.2,4.15,43321,15.1,"48095",1,"TX",2726,5007,17,0,411,114
"48","Cooke",23.62,21,3.6,43.94,61186,12.7,"48097",1,"TX",41257,34525,20,0,5239,1485
"49","Coryell",22.58,11.54,4.3,71.66,53083,11.8,"48099",0,"TX",75951,79855,60,2,8962,3265
"50","Cottle",22.96,27.04,4.3,1.67,40449,18.9,"48101",1,"TX",1398,3808,1,0,264,60
"51","Crane",28.91,14.24,5.3,5.57,68626,9.6,"48103",1,"TX",4797,9351,6,0,460,254
"52","Crockett",24.83,19.46,4.1,1.32,54165,13.8,"48105",1,"TX",3464,5864,19,0,478,142
"53","Crosby",26.06,21.37,4.1,6.73,38871,22.1,"48107",1,"TX",5737,4970,102,0,1267,235
"54","Culberson",22.39,25.52,3.6,0.63,44462,19.7,"48109",1,"TX",2171,8338,3,0,427,78
"55","Dallam",31.91,13.06,2.1,4.46,55793,11.4,"48111",1,"TX",7287,12870,6,0,830,153
"56","Dallas",25.81,12.31,3.8,2718,61807,14,"48113",0,"TX",2635516,2700573,3207,43,368972,100149
"57","Dawson",25.7,16.85,4.9,15.36,48165,20.6,"48115",1,"TX",12728,17431,5,0,2621,623
"58","Delta",23.47,22.7,3.3,20.37,51348,16,"48119",1,"TX",5331,8145,28,0,852,175
"59","Denton",24.29,11.43,3.3,754.31,90910,6.5,"48121",0,"TX",887207,704236,922,12,57668,29277
"60","DeWitt",22.46,22.81,4.4,22.11,52544,17.1,"48123",1,"TX",20160,22259,63,2,3447,887
"61","Dickens",18.18,26.18,4.7,2.71,41973,19.4,"48125",1,"TX",2211,1116,3,0,428,103
"62","Dimmit",28.65,19.78,5.1,7.52,40315,25.3,"48127",1,"TX",10124,22947,290,1,2561,516
"63","Donley",19.37,27.06,3.6,3.97,41093,16.4,"48129",1,"TX",3278,4511,9,0,537,118
"64","Duval",25.63,20.55,7.7,6.57,37100,23.9,"48131",1,"TX",11157,12810,5,1,2666,859
"65","Eastland",21.15,24.84,4.3,20.06,46991,16.7,"48133",1,"TX",18360,40658,7,1,3066,789
"66","Ector",30.28,10.65,4.1,152.76,65564,12.1,"48135",0,"TX",166223,273756,141,2,20112,6815
"67","Edwards",21.74,32.25,3.2,0.95,40424,20.7,"48137",1,"TX",1932,3603,5,0,399,61
"68","Ellis",26.52,14.38,3.4,159.93,78341,8.7,"48139",0,"TX",184826,182164,273,7,16079,6284
"69","Erath",20.68,16.51,3.4,34.98,53044,15.2,"48143",1,"TX",42698,62266,37,1,6490,1451
"70","Falls",20.96,20.94,4.2,23.34,41484,21.6,"48145",1,"TX",17297,31541,9,0,3736,726
"71","Fannin",21.16,20.57,3.3,38.07,56123,13.2,"48147",1,"TX",35514,30552,20,0,4687,1171
"72","Fayette",20.02,29.96,3.2,25.85,62195,10.9,"48149",1,"TX",25346,31431,34,0,2762,811
"73","Fisher",21.36,28.69,3.5,4.42,51053,13.3,"48151",1,"TX",3830,7837,2,0,509,134
"74","Floyd",26.42,21.41,5.5,6.5,45022,17.3,"48153",1,"TX",5712,8761,15,0,988,314
"75","Foard",20,31.25,3.4,1.9,38615,17,"48155",1,"TX",1155,2100,0,0,196,39
