"","county","long_trip","cases","deaths","median_income","total_pop","is_rural","unemployed","density","lt17","gt65","in_poverty"
"84","Goliad",12705,10,2,56758,7658,1,375,8.46,1586,2074,1026
"85","Gonzales",30079,38,1,48425,20837,1,729,18.57,5565,3969,3375
"86","Gray",17145,195,0,52543,21886,1,1159,24.34,5541,3994,3173
"87","Grayson",108276,26,4,57439,136212,0,4767,129.58,32227,26888,15800
"88","Gregg",168682,128,4,53137,123945,0,6321,445.4,31866,22086,20450
"89","Grimes",43828,63,3,51651,28880,1,1530,33.78,6382,5672,4591
"90","Guadalupe",155236,485,6,78801,166847,0,5505,184.92,41261,26128,12346
"91","Hale",72298,39,0,49187,33406,1,1703,36.1,8949,5194,5979
"92","Hall",10962,10,0,35940,2964,1,183,3.8,655,804,752
"93","Hamilton",14807,11,0,52505,8461,1,329,10.19,1839,2486,1209
"94","Hansford",8956,27,0,58703,5399,1,134,6.1,1602,943,631
"95","Hardeman",7894,4,0,40057,3933,1,153,5.95,845,1033,755
"96","Hardin",61065,186,2,62616,57602,0,3513,61.35,14054,10823,6969
"97","Harris",3574739,2989,141,61638,4713325,0,235666,2402.41,1245731,567012,706998
"98","Harrison",102523,538,2,55171,66553,0,3460,72.93,16585,12884,11846
"99","Hartley",10122,11,0,72796,5576,1,111,4.15,1164,991,479
"100","Haskell",9821,14,0,38613,5658,1,265,6.53,956,1451,1171
"101","Hays",151815,289,14,72890,230191,0,7135,231.73,52621,28382,25781
"102","Hemphill",11150,3,1,71299,3819,1,95,4.2,1152,688,347
"103","Henderson",136554,77,3,49896,82737,1,3474,89.88,17598,20436,14478
"104","Hidalgo",1201627,1765,29,41656,868707,0,64284,493.21,279115,110673,233682
"105","Hill",79749,37,1,53210,36649,1,1429,36.59,8480,8594,4801
"106","Hockley",29305,264,1,51149,23021,1,851,25.25,5911,3860,3568
"107","Hood",52788,55,4,74534,61643,1,2589,121.68,12994,17105,5671
"108","Hopkins",58174,261,2,50332,37084,1,1335,45.83,8959,7665,5451
"109","Houston",46722,219,3,43601,22968,1,964,19.28,4540,5833,4800
"110","Howard",62785,28,1,61112,36664,1,1576,38.87,8011,5448,6232
"111","Hudspeth",16552,4,0,39309,4886,1,293,0.76,1016,867,1368
"112","Hunt",104254,158,6,57513,98594,1,3845,102.5,23494,17460,14591
"113","Hutchinson",16406,358,1,57936,20938,1,1256,24.96,5307,4032,2386
"114","Irion",3056,3,0,68630,1536,1,46,1.52,346,365,113
"115","Jack",14870,20,0,55358,8935,1,330,9.93,1939,1663,1393
"116","Jackson",27245,18,0,55800,14760,1,590,16.97,3746,3093,2036
"117","Jasper",56600,49,1,47252,35529,1,2629,38.04,8438,7919,6928
"118","Jefferson",233348,644,8,55173,251565,0,18364,287.89,60526,42564,42514
"119","Johnson",164382,207,6,66538,175817,0,6681,208.27,45589,27427,19339
"120","Jones",41804,16,0,51094,20083,1,1064,21.76,3482,3608,4096
"121","Karnes",27644,113,0,54843,15601,1,546,19.83,3318,2524,3276
"122","Kaufman",186904,279,6,75009,136154,0,4765,132.38,38000,17550,13343
"123","Kendall",41823,38,0,94899,47431,0,1470,50.43,10966,10264,3509
"124","Kerr",44025,58,4,57789,52600,1,1788,44.98,9962,16653,6575
"125","Kimble",8087,10,1,44757,4337,1,151,3.68,781,1416,737
"126","Kinney",5528,5,0,47076,3667,1,201,2.65,702,1030,693
"127","Kleberg",41890,35,1,47169,30680,1,1810,36.38,7338,4531,7148
"128","Knox",10395,1,0,40808,3664,1,146,4.37,954,829,699
"129","Lamar",78087,78,1,47061,49859,1,2094,54.89,11771,10939,9174
"130","Lamb",20232,146,0,42719,12893,1,670,13.75,3549,2578,2385
"131","Lampasas",29269,21,0,58817,21428,0,792,27.6,4628,4784,2657
"132","Lavaca",27977,42,0,52632,20154,1,725,19.86,4687,5510,2216
"133","Lee",28166,25,0,59250,17239,1,568,26.41,3747,3554,1844
"134","Leon",35411,6,0,50522,17404,1,1096,15.66,3889,4779,2506
"135","Liberty",88912,181,8,53274,88219,1,6263,65.3,23854,12430,12703
"136","Limestone",45422,17,0,43644,23437,1,1289,25.83,5160,5195,4499
"137","Lipscomb",9880,1,0,65388,3233,1,103,3.54,818,713,400
"138","Llano",29235,26,2,55617,21795,1,806,20.66,3295,9153,2353
"139","Lubbock",396930,169,7,54733,310569,0,9938,311.33,73511,44225,55591
"140","Lynn",9174,4,1,45737,5951,1,226,6.63,1622,1085,952
"141","Madison",35954,10,1,46274,14284,1,657,29.32,3033,2538,2542
"142","Marion",15517,75,0,37876,9854,1,561,27.69,1781,2964,2108
"143","Martin",10424,14,0,68745,5771,1,184,5.25,1809,735,698
"144","Mason",5147,3,0,54914,4274,1,141,4.32,862,1392,500
"145","Matagorda",45786,62,0,49276,36643,1,2638,33.36,9365,7101,6412
"146","Maverick",166457,752,4,40017,58722,1,5461,42.41,18174,7757,15796
"147","McCulloch",16510,8,1,43262,7984,1,287,7.77,1766,2031,1405
"148","McLennan",380994,298,3,51078,256623,0,9751,226.5,62923,42779,46192
"149","Medina",74547,505,2,60695,51584,1,1960,34.71,11807,9744,6293
"150","Menard",4369,2,0,38425,2138,1,102,2.49,385,805,442
"151","Midland",352573,103,2,85811,176832,0,5304,152.03,50503,21166,17506
"152","Milam",29499,28,0,48989,24823,1,1241,24.34,5897,5935,4046
"153","Mills",8937,1,0,46876,4873,1,170,6.6,995,1619,643
"154","Mitchell",17086,3,0,44457,8545,1,469,10.32,1762,1399,1666
"155","Montague",20565,21,1,53649,19818,1,792,21.18,4449,4960,2556
"156","Montgomery",564594,1195,13,88833,607391,0,26117,437.49,158468,89043,54057
"157","Moore",40203,16,0,55099,20940,1,607,24.35,6650,2661,2491
"158","Morris",21397,67,1,43304,12388,1,1065,51.33,2856,3049,2242
"159","Motley",878,2,0,40217,1200,1,44,1.22,237,415,211
"160","Nacogdoches",137961,569,2,46207,65204,1,2803,68.17,15003,11104,13627
"161","Navarro",84277,72,0,48649,50113,1,1954,47.28,13234,9646,6715
"162","Newton",21135,11,0,45890,13595,1,1074,15.47,2665,3192,3099
"163","Nolan",22821,3,1,46389,14714,1,603,16.68,3828,3086,2574
"164","Nueces",421767,569,16,56079,362294,0,19563,405.76,88073,60539,59778
"165","Ochiltree",26213,21,0,62567,9836,1,363,11.14,3051,1264,1121
"166","Oldham",2103,4,0,59404,2112,1,52,1.37,493,344,276
"167","Orange",71020,127,5,62976,83396,0,5754,245.26,20648,15261,10424
"168","Panola",56996,220,0,56882,23194,1,1275,29.68,5401,5037,3316
"169","Parker",173160,293,5,82501,142878,0,5000,129.42,35333,24503,11715
"170","Parmer",16511,35,0,50607,9605,1,240,11.66,2709,1537,1133
"171","Pecos",50223,26,1,52763,15823,1,712,3.26,3881,2367,2958
"172","Polk",80078,52,0,50416,51353,1,3081,42.96,10203,10265,8575
"173","Potter",163318,133,4,41138,117415,0,3757,133.29,32019,17201,23835
