"County","% High School Graduate or Higher","% Bachelor s Degree or Higher","Unemployment Rate (%)"
"Moore","67.3","14.3","2.9"
"Morris","88.6","14.3","8.6"
"Motley","87.5","16.8","3.7"
"Nacogdoches","82.9","24.5","4.3"
"Navarro","78.4","15.9","3.9"
"Newton","83.4","9.7","7.9"
"Nolan","82.3","15.2","4.1"
"Nueces","82.8","21.8","5.4"
"Ochiltree","74.4","15.6","3.7"
"Oldham","90.3","22","2.5"
"Orange","87.9","15.5","6.9"
"Palo Pinto","84.2","16.6","4.1"
"Panola","82.9","16.1","5.5"
"Parker","88.6","26.4","3.5"
"Parmer","70.8","17.9","2.5"
"Pecos","69.1","9.8","4.5"
"Polk","81.6","13.1","6.0"
"Potter","77","14.9","3.2"
"Presidio","53.4","21.2","9.4"
"Rains","85.4","13.7","3.5"
"Randall","92.3","32.4","2.8"
"Reagan","82.2","10.5","3.8"
"Real","83.3","17.4","5.7"
"Red River","85.4","12.5","5.2"
"Reeves","69.7","12.3","3.5"
"Refugio","80.3","11.5","5.8"
"Roberts","92.7","25","3.7"
"Robertson","84.5","16.1","4.7"
"Rockwall","92.7","40.7","3.3"
"Runnels","79.2","18.1","3.8"
"Rusk","80.6","15.5","5.1"
"Sabine","84.7","17.6","8.6"
"San Augustine","82.3","14","7.5"
"San Jacinto","84.5","11.2","5.6"
"San Patricio","79.9","15.6","7.6"
"San Saba","74.8","14.1","3.2"
"Schleicher","79.6","16.6","3.7"
"Scurry","78.7","16.2","4.4"
"Shackelford","86.4","30.5","3.0"
"Shelby","76.4","13.8","5.1"
"Sherman","79","15","3.1"
"Smith","85.8","26.4","4.1"
"Somervell","89.6","26.4","4.5"
"Starr","53.3","9.9","11.7"
"Stephens","78.5","16.2","4.7"
"Sterling","89.4","9.5","3.8"
"Stonewall","81.3","14.8","3.4"
"Sutton","73.9","17.1","5.1"
"Swisher","73.3","15.3","4.1"
"Tarrant","86.1","32.3","3.7"
"Taylor","89.3","25.2","3.5"
"Terrell","86.5","18.4","4.9"
"Terry","68.4","11.4","5.0"
"Throckmorton","86.6","21.7","4.3"
"Titus","76.7","16.3","5.3"
"Tom Green","86.3","24.5","3.7"
"Travis","89.3","50","3.0"
"Trinity","83.1","12.9","5.5"
"Tyler","82","13.4","7.3"
"Upshur","85.8","17.1","5.2"
"Upton","75.6","9.6","3.8"
"Uvalde","75.8","17.9","4.7"
"Val Verde","68.2","18.4","5.1"
"Van Zandt","84.6","15.8","3.7"
"Victoria","83.8","20","4.8"
"Walker","86","20.8","4.6"
"Waller","82.5","21.1","4.9"
"Ward","78.6","12.5","4.1"
"Washington","86.7","26.8","4.2"
"Webb","67.6","18.9","4.2"
"Wharton","78.3","18","4.5"
"Wheeler","80.2","16.8","4.1"
"Wichita","86.6","23.1","3.7"
"Wilbarger","77.2","15.2","4.7"
"Willacy","65.7","8.9","11.0"
"Williamson","93.2","41.3","3.2"
"Wilson","87.6","21.8","3.5"
"Winkler","69.2","8.2","5.2"
"Wise","85.3","18","4.0"
"Wood","84.7","16.6","4.7"
"Yoakum","63.5","12.7","3.5"
"Young","83","19.3","3.8"
"Zapata","61.9","11.6","7.3"
"Zavala","66.9","10.9","11.1"
